Grantee,Ratio_disbursed_to_obligated,Ratio_expended_to_disbursed,Timeliness,Duration_of_completion,Ratio_obligated_funds_fully_expended,Quarter_by_quarter_variance_expended,Duration_log,Spending_CV,Spending_Gini,N_Quarters,Progress_Rate,Spending_Acceleration,Time_to_50pct,Startup_Lag,Completion_Velocity,Government_Type
Oregon,0.11358069475524883,0.8220853506982281,0.047633970542149795,20.99342105263158,0.09337302528041713,0.34957756381420463,3.044209105431967,0.9835974263181173,0.4963502867754983,7.0,0.013339003611488163,0.18285362961062784,1.0,0.0,0.014848778274363546,state
Pennsylvania,0.7017803829982872,0.9999160376043147,0.04257534950318392,87.08991228070175,0.7017057562193599,0.29245257039213896,3.944535072785546,1.4984154407108923,0.6406824313631908,28.666666666666668,0.0403875715212148,0.008494679856401727,0.6992063492063493,0.6666666666666666,0.05317076900699974,state
"Philadelphia, PA",0.002299322251551687,1.1621792472000436,0.11168258633357825,8.953947368421053,0.09096149913200638,0.4714045207910317,2.19209448180519,0.8660254037844386,0.33333333333333326,3.0,0.030320499710668792,0.75,1.0,1.0,0.04548074956600319,local
Puerto Rico,0.31631878558969956,0.9024701575193935,0.02046433739541913,72.07236842105263,0.30675005504458863,0.27848101779131723,4.054514941684636,1.4231471391528214,0.6225522480542265,23.2,0.00935408460844686,0.14174819417228673,0.8703703703703705,0.0,0.00967521542618301,state
Rhode Island,1.0,1.0,0.01447481192267403,69.08552631578948,1.0,0.24361408716358507,4.235345248859717,1.1850775513157976,0.6030018246554268,34.0,0.029411764705882353,-0.02241890544436304,0.47058823529411764,0.0,0.030230282178084395,state
"Richland County, SC",0.48944950357960276,0.49444423632896367,0.021689236653512106,64.57894736842105,0.4484199492811943,0.3413110355235935,3.999413806891414,1.709403618822678,0.6926190088454478,13.5,0.019590976970449803,-0.6042248934641523,0.7826086956521738,0.0,0.020229963180039685,local
"San Marcos, TX",0.8360726253133945,0.9577283316166129,0.015603969447061876,72.09539473684211,0.805680794437288,0.3100079694736285,4.21911005716738,1.1128217491039991,0.5619632281426992,24.0,0.03546134900973631,0.09117450055813411,0.78125,0.0,0.03712552993686554,local
"Sarasota County, FL",0.018847687972272,0.627440782926805,0.08347062053816584,11.980263157894738,0.01182580809768247,0.42849988300034625,2.4832605588813315,1.9164731928377763,0.7341642134905924,4.0,0.0029564520244206175,-0.37466274158494767,1.0,1.0,0.003941936032560823,local
"Shelby County, TN",0.7477929469454517,0.9998381625640838,0.010406682185403257,96.0921052631579,0.7476719260523219,0.2226247418679264,4.565307161333779,1.1741316661899732,0.5650854895893529,32.0,0.02336474768913506,0.06410272063020463,0.84375,0.0,0.024097568160663604,local
South Carolina,0.6249685316624117,0.9741995356558577,0.0202020854468134,49.54605263157895,0.6001996826971214,0.2927906589154643,3.902436016608836,1.09050440170419,0.544685796155048,15.5,0.03815981515301608,0.012487306746909805,0.78125,0.0,0.040581897089229546,state
"Springfield, MA",0.9766020093911049,1.002980718871428,0.010430354192398026,99.15131578947368,0.979397889808143,0.2051136223277756,4.579841088558382,1.4462136791217608,0.5882654225562166,35.0,0.028387975915114085,-0.03795221110889957,0.4437551695616212,0.0,0.027449218302931813,local
"St. Clair County, IL",1.0,0.0,0.1668496158068057,5.993421052631579,0.0,0.0,1.790662376413682,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,local
St. Tammany Parish,0.6876641322755026,0.9387623264337376,0.007742855687433141,129.1513157894737,0.6455531806199883,0.17017810637074654,4.860984707561757,4.285799347001012,0.9368921559296545,34.0,0.018986858253529068,0.11723399241949069,0.9411764705882353,11.0,0.019562217594545097,local
Tennessee,0.6653479975635754,0.6670442620341964,0.11964911825855874,53.05482456140351,0.6657315827942369,0.13764424241836332,3.27137914128256,1.2464064182095245,0.4477826862084269,19.666666666666668,0.02298920763366145,-0.01946334137864172,0.5833333333333334,2.0,0.02381251957788171,state
Texas - GLO,0.7383238184942637,0.979449439412133,0.014048681708568437,87.08717105263159,0.7301976346001748,0.271979325359612,4.363995818585052,0.9685756542687431,0.488981091646948,30.75,0.026271565634034863,0.023499837514880287,0.6550615906084656,0.125,0.027315434851202438,state
"Town of Union, NY",0.9793930990525446,0.9690501309311613,0.006933990237671639,144.2171052631579,0.9490810108699441,0.20234040761457905,4.971319839613051,1.3358449028299644,0.617657924610718,41.0,0.02314831733829132,-0.040499807167313016,0.4146341463414634,0.0,0.023097273576020354,local
"Tuscaloosa, AL",0.8485898775212587,1.1145617353839747,0.010054578430623514,111.14144736842105,0.9301760954572496,0.2398045655799234,4.655265436838012,1.320238397261902,0.6327071911787459,42.5,0.02216616501808309,-0.05063914371913869,0.34364548494983277,0.0,0.022600427981750812,local
Virgin Islands,0.25118625962549074,0.3514420185930296,0.14355921013192605,29.019736842105264,0.1690889723534231,0.22188968227356687,2.619878285695378,1.0368694022692924,0.4190736988110844,9.666666666666666,0.0070849429454751455,0.1347188600322266,0.9722222222222222,1.6666666666666667,0.007406747107423057,state
Virginia,0.9863760733809488,1.0131613597692626,0.013880010957903388,72.04605263157895,0.999358123750508,0.32183159811681933,4.277305534429483,0.916025530198806,0.49835527767142734,31.0,0.03223735883066155,-0.013356451376416507,0.4838709677419355,0.0,0.0332462360257378,state
"Volusia County, FL",1.0,0.0,0.08347062053816584,11.980263157894738,0.0,0.0,2.4832605588813315,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,local
Washington,0.04511833324925591,0.0,0.036973972269520795,27.04605263157895,0.0,0.0,3.2975410660516022,0.0,0.0,9.0,0.0,0.0,1.0,9.0,0.0,state
West Virginia,0.48443404356162967,0.9665362521649126,0.015958598361253802,69.06907894736842,0.4804554638211553,0.28920404240163267,4.186432330372528,0.9071497912643461,0.48221810700075574,23.0,0.016877081217528397,0.0468662642741105,0.7666666666666666,0.5,0.01736620917459104,state
Wisconsin,0.9734860009061228,0.9977316790078259,0.022170361726954493,45.10526315789474,0.9712778221746798,0.24162078531417636,3.8089989394313393,1.105834233210905,0.5336064028998198,17.0,0.05713398953968705,0.04481792995612615,0.7058823529411765,0.0,0.06057450338114102,state
